"school_name","school_link","details"
"Ahousaht","https://nctr.ca/residential-schools/british-columbia/ahousaht/","Residential School - Ahousaht, BC (1904 -1940)"
"Akaitcho Hall (Yellowknife Federal Hostel)","https://nctr.ca/residential-schools/northern/akaitcho-hall-yellowknife-federal-hostel/","Residential School - Yellowknife, NT (1958 -1994)"
"Alberni","https://nctr.ca/residential-schools/british-columbia/alberni/","Residential School - Port Alberni, BC (1900 -1973)"
"All Saints (Aklavik Anglican)","https://nctr.ca/residential-schools/northern/all-saints-aklavik-anglican/","Residential School - Aklavik, NT (1936 -1959)"
"Amos (Saint-Marc-de-Figuery)","https://nctr.ca/residential-schools/quebec/amos-saint-marc-de-figuery/","Residential School - Amos, QC (1955 -1973)"
"Anahim Lake Dormitory (Ulkatcho)","https://nctr.ca/residential-schools/british-columbia/anahim-lake-dormitory-ulkatcho/","Residential School - Anahim Lake, BC (1968 -1977)"
"Assiniboia (Winnipeg)","https://nctr.ca/residential-schools/manitoba/assiniboia-winnipeg/","Residential School - Winnipeg, MB (1958 -1973)"
"Assumption (Hay Lakes)","https://nctr.ca/residential-schools/alberta/assumption-hay-lakes/","Residential School - Assumption, AB (1951 -1974)"
"Battleford","https://nctr.ca/residential-schools/saskatchewan/battleford/","Residential School - Battleford, SK (1883 -1914)"
"Beauval (Ile a la Crosse)","https://nctr.ca/residential-schools/saskatchewan/beauval-ile-a-la-crosse/","Residential School - Beauval, SK (1897 -1995)"
"Birtle","https://nctr.ca/residential-schools/manitoba/birtle/","Residential School - Birtle, MB ( 1888 -1970)"
"Bishop Horden Hall (Moose Factory)","https://nctr.ca/residential-schools/ontario/bishop-horden-hall-moose-factory/","Residential School - Moose Island, ON (1906 -1976)"
"Blue Quills (Sacred Heart)","https://nctr.ca/residential-schools/alberta/blue-quills-sacred-heart/","Residential School -  St. Paul, AB (1898 -1990)"
"Bompas Hall (Koe Go Cho)","https://nctr.ca/residential-schools/northern/bompas-hall-koe-go-cho/","Residential School - Fort Simpson, NT (1960 -1975)"
"Brandon","https://nctr.ca/residential-schools/manitoba/brandon/","Residential School - Brandon, MB (1895 -1972)"
"Breynat Hall (Fort Smith Hostel)","https://nctr.ca/residential-schools/northern/breynat-hall-fort-smith-hostel/","Residential School - Fort Smith, NT (1957 – 1975)"
"Carcross (Choutla)","https://nctr.ca/residential-schools/northern/carcross-choutla/","Residential School - Carcross, YT (1903 -1969)"
"Cariboo (Williams Lake)","https://nctr.ca/residential-schools/british-columbia/cariboo-williams-lake/","Residential School - Williams Lake, BC (1891 -1981)"
"Cecilia Jeffrey (Shoal Lake)","https://nctr.ca/residential-schools/ontario/cecilia-jeffrey-shoal-lake/","Residential School - Kenora, ON (1902 -1976)"
"Chapleau (St. John’s)","https://nctr.ca/residential-schools/ontario/chapleau-st-johns/","Residential School - Chapleau, ON (1907 -1948)"
"Chesterfield Inlet (Turquetil Hall)","https://nctr.ca/residential-schools/northern/chesterfield-inlet-turquetil-hall/","Residential School - Chesterfield Inlet, NU (1954 -1969)"
