"Name","Latitude","Longitude"
"Canadian Residential Schools: Assumption",58.7,-118.69
"Canadian Residential Schools: Blue Quills",54,-111.37
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"Canadian Residential Schools: Ermineskin",52.84,-113.46
"Canadian Residential Schools: Fort Vermilion",58.39,-116.02
"",NA,NA
"Canadian Residential Schools: Holy Angels",58.71,-111.17
"",NA,NA
"Canadian Residential Schools: Lac la Biche",54.82,-112.09
"",NA,NA
"",NA,NA
"",NA,NA
"",NA,NA
"Canadian Residential Schools: St. Albert (Youville)",53.64,-113.63
"Canadian Residential Schools: St. Augustine (Smoky River)",56.15,-117.45
"",NA,NA
"",NA,NA
"",NA,NA
"Canadian Residential Schools: St. Paul's (Blood)",49.3,-113.34
"Canadian Residential Schools: Sarcee",50.93,-114.15
"Canadian Residential Schools: Sturgeon Lake",55.07,-117.5
"Canadian Residential Schools: Wabasca (Athabasca Landing)",55.98,-113.9
"Canadian Residential Schools: Whitefish Lake",55.92,-115.66
"",NA,NA
"Canadian Residential Schools: Alberni",49.26,-124.84
"Canadian Residential Schools: Cariboo",52.06,-121.95
"Canadian Residential Schools: Christie",49.13,-125.9
"",NA,NA
"Canadian Residential Schools: Cranbrook",49.59,-115.76
"Canadian Residential Schools: Kamloops",50.68,-120.3
"Canadian Residential Schools: Kitimaat",53.97,-128.65
"",NA,NA
"Canadian Residential Schools: Lejac",54.45,-124.27
"Canadian Residential Schools: Lower Post",59.92,-128.5
"Canadian Residential Schools: Port Simpson",54.56,-130.43
"Canadian Residential Schools: St. George's (Lytton)",50.27,-121.6
"Canadian Residential Schools: St. Mary's (Mission)",49.14,-122.29
"Canadian Residential Schools: St. Michael's (Alert Bay)",50.59,-126.94
"",NA,NA
"Canadian Residential Schools: St. Paul's (Squamish)",49.32,-123.09
"Canadian Residential Schools: Anahim Lake Dormitory",52.47,-125.31
"",NA,NA
"",NA,NA
"Canadian Residential Schools: Brandon",49.87,-99.99
"Canadian Residential Schools: Churchill",58.76,-94.08
"",NA,NA
"Canadian Residential Schools: MacKay",51.14,-100.07
"Canadian Residential Schools: Elkhorn",49.98,-101.25
"Canadian Residential Schools: Fort Alexander",50.62,-96.31
"",NA,NA
"",NA,NA
"Canadian Residential Schools: Pine Creek",52,-100.15
"",NA,NA
"Canadian Residential Schools: Sandy Bay",50.56,-98.65
"Canadian Residential Schools: Notre Dame Hostel",53.95,-97.85
"Canadian Residential Schools: Shubenacadie",45.1,-63.41
"Canadian Residential Schools: Chesterfield Inlet",63.34,-90.71
"Canadian Residential Schools: Federal Tent Hostel at Coppermine",67.82,-115.1
"Canadian Residential Schools: Federal Hostel at Baker Lake",64.32,-96.01
"Canadian Residential Schools: Federal Hostel at Belcher Islands",56.51,-79.22
"Canadian Residential Schools: Federal Hostel at Broughton Island",67.56,-64.03
"Canadian Residential Schools: Federal Hostel at Cambridge Bay",69.12,-105.05
"Canadian Residential Schools: Federal Hostel at Cape Dorset",64.23,-76.54
"Canadian Residential Schools: Federal Hostel at Eskimo Point",61.11,-94.06
"Canadian Residential Schools: Federal Hostel at Frobisher Bay",63.76,-68.54
"Canadian Residential Schools: Federal Hostel at Igloolik",69.37,-81.82
"Canadian Residential Schools: Federal Hostel at Lake Harbour",62.85,-69.87
"Canadian Residential Schools: Federal Hostel at Pangnirtung",66.15,-65.7
"Canadian Residential Schools: Kivalliq Hall",62.81,-92.09
"",NA,NA
"Canadian Residential Schools: Immaculate Conception",68.22,-135.01
"Canadian Residential Schools: Fleming Hall",67.44,-134.88
"Canadian Residential Schools: Sacred Heart (Providence Mission)",61.36,-117.67
"Canadian Residential Schools: St. Joseph's (Fort Resolution)",61.17,-113.66
"",NA,NA
"Canadian Residential Schools: Bompas Hall",61.86,-121.36
"",NA,NA
"Canadian Residential Schools: Breynat Hall",60.01,-111.89
"Canadian Residential Schools: Hay River",60.86,-115.72
"",NA,NA
"Canadian Residential Schools: Grollier Hall",68.36,-133.72
"Canadian Residential Schools: Akaitcho Hall",62.45,-114.36
"Canadian Residential Schools: Federal Hostel at Fort Franklin",65.19,-123.42
"Canadian Residential Schools: Bishop Horden Hall",51.25,-80.61
"",NA,NA
"Canadian Residential Schools: Chapleau",47.82,-83.39
"Canadian Residential Schools: Fort Frances",48.63,-93.36
"Canadian Residential Schools: Fort William",48.38,-89.26
"Canadian Residential Schools: McIntosh",49.96,-93.61
"Canadian Residential Schools: Mohawk Institute",43.13,-80.24
"Canadian Residential Schools: Mount Elgin",42.8,-81.43
"Canadian Residential Schools: Pelican Lake",50.12,-92.01
"Canadian Residential Schools: Poplar Hill",52.1,-94.3
